day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
1,0.0,0.0,0,0.0,2.0,0.5,0.0,1.0,0.095,1.0,2.0,0.9,0.0,1.0,0.372,1.0,2.0,0.716,0.0,1.0,0.228,1.0,3.0,1.311,1.0,2.0,0.878,9.0,17.0,9.66,8000.0,8000.0,8000,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,3.0,3.0,3,20.0,20.0,20,1200.0,1200.0,1200,450.0,650.0,510,0.0,0.0,0,40.0,40.0,40,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,1,300.0,300.0,300,0.0,200.0,60,100.0,100.0,100,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.0,2.0,0.505,0.0,1.0,0.077,1.0,2.0,0.88,0.0,1.0,0.383,1.0,2.0,0.693,0.0,1.0,0.251,1.0,3.0,1.316,1.0,2.0,0.895,10.0,17.0,10.707,9600.0,9600.0,8881.6,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,60.0,90.0,64.41,2400.0,2400.0,2400,800.0,1000.0,823.4,0.0,0.0,0,80.0,80.0,80,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.625,200.0,200.0,200,100.0,200.0,63.4,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,4.41,0.0,1.0,0.083,0.0,1.0,0.246,0.0,0.0,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0,0.0,2.0,0.485,0.0,1.0,0.098,1.0,2.0,0.899,0.0,1.0,0.337,1.0,2.0,0.69,0.0,1.0,0.234,1.0,3.0,1.32,1.0,2.0,0.937,10.0,18.0,11.158,9600.0,9600.0,8921.6,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,80.0,110.0,94.31,600.0,600.0,600,1100.0,1300.0,1080.5,0.0,0.0,0,120.0,120.0,120,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.569,,,,0.0,200.0,57.1,150.0,150.0,150,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,9.9,0.0,1.0,0.092,0.0,1.0,0.286,0.0,1.0,0.053,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0,0.0,2.0,0.502,0.0,1.0,0.102,1.0,2.0,0.888,0.0,2.0,0.371,1.0,2.0,0.654,0.0,1.0,0.222,1.0,3.0,1.356,1.0,2.0,0.905,10.0,18.0,10.866,9600.0,12000.0,9327.2,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0,9.0,9.0,9,160.0,160.0,152.38,300.0,300.0,300,1150.0,1450.0,1189.8,0.0,3.0,0.981,160.0,160.0,160,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.612,,,,0.0,200.0,59.3,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,8.07,0.0,1.0,0.118,0.0,1.0,0.229,0.0,0.0,0.041,,,,1500.0,1500.0,1500,0.0,3.0,0.981,0.0,1.0,0.358,0.0,1.0,0.327,0.0,1.0,0.315,,,,,,,,,
5,0.0,0.0,0,0.0,2.0,0.49,0.0,1.0,0.116,1.0,2.0,0.891,0.0,1.0,0.334,1.0,2.0,0.683,0.0,1.0,0.225,1.0,3.0,1.436,1.0,2.0,0.825,10.0,18.0,11.074,9600.0,12000.0,9888,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,11.0,11.0,11,180.0,180.0,177.43,1500.0,1500.0,1500,1500.0,1800.0,1495.7,0.0,3.0,0.981,200.0,200.0,200,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.625,,,,0.0,200.0,55.9,200.0,200.0,200,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,5.05,0.0,1.0,0.085,0.0,1.0,0.239,0.0,1.0,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0,0.0,2.0,0.478,0.0,1.0,0.104,1.0,2.0,0.857,0.0,1.0,0.368,0.0,2.0,0.649,0.0,1.0,0.212,1.0,3.0,1.42,1.0,2.0,0.912,10.0,18.0,10.944,8000.0,8000.0,8000,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0,13.0,13.0,13,270.0,270.0,270.52,2700.0,2700.0,2700,1850.0,2250.0,1903.7,0.0,3.0,0.981,240.0,240.0,240,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.609,300.0,300.0,300,0.0,200.0,58,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,30.0,60.0,33.09,0.0,1.0,0.097,0.0,1.0,0.234,0.0,1.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0,0.0,2.0,0.495,0.0,1.0,0.102,1.0,2.0,0.907,0.0,1.0,0.325,1.0,2.0,0.728,0.0,1.0,0.192,1.0,3.0,1.368,1.0,2.0,0.883,15.0,23.0,15.939,8000.0,9600.0,8265.6,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,15.0,15.0,15,290.0,340.0,292.63,900.0,900.0,900,2910.0,3210.0,2915.4,0.0,3.0,0.981,0.0,0.0,0,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.622,,,,0.0,200.0,51.7,350.0,350.0,350,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,2.11,0.0,1.0,0.105,0.0,1.0,0.227,0.0,0.0,0.046,3000.0,3000.0,3000,,,,,,,,,,,,,,,,560.0,560.0,560,50.0,50.0,50,,,
8,0.0,0.0,0,0.0,1.0,0.406,0.0,1.0,0.074,1.0,2.0,0.692,0.0,1.0,0.303,0.0,2.0,0.552,0.0,1.0,0.181,1.0,3.0,1.088,1.0,2.0,0.704,9.0,16.0,9.787,9600.0,9600.0,8816,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,17.0,17.0,17,310.0,360.0,315.4,100.0,100.0,100,3010.0,3410.0,3063.8,3.0,6.0,1.965,0.0,0.0,0,9200.0,9200.0,9200,8500.0,8500.0,8500,1.0,1.0,0.608,,,,0.0,200.0,48.4,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8,0.0,50.0,2.77,0.0,1.0,0.122,0.0,1.0,0.217,0.0,1.0,0.053,,,,1500.0,1500.0,1500,0.0,3.0,0.984,0.0,1.0,0.346,0.0,1.0,0.328,0.0,1.0,0.326,,,,,,,,,
9,0.0,0.0,0,0.0,2.0,0.525,0.0,1.0,0.103,1.0,2.0,0.87,0.0,2.0,0.361,1.0,2.0,0.68,0.0,1.0,0.234,1.0,3.0,1.34,1.0,2.0,0.887,10.0,18.0,10.969,9600.0,9600.0,9447.2,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0,19.0,19.0,19,350.0,400.0,357.66,800.0,800.0,800,3110.0,3510.0,3123.3,3.0,6.0,1.965,0.0,0.0,0,9200.0,9200.0,9200,8500.0,8500.0,8500,1.0,1.0,0.605,,,,0.0,200.0,59.5,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,10,0.0,0.0,2.26,0.0,1.0,0.101,0.0,1.0,0.253,0.0,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0,0.0,1.0,0.41,0.0,1.0,0.074,1.0,2.0,0.7,0.0,1.0,0.262,0.0,2.0,0.558,0.0,1.0,0.192,1.0,2.0499999999999545,1.032,1.0,2.0,0.772,9.0,16.0,10.028,9600.0,12000.0,10489.6,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,21.0,21.0,21,370.0,420.0,380.69,1500.0,1500.0,1500,3360.0,3660.0,3318.7,3.0,6.0,1.965,0.0,0.0,0,9200.0,9200.0,9200,8500.0,8500.0,8500,1.0,1.0,0.612,,,,0.0,200.0,45.4,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8,0.0,50.0,3.03,0.0,1.0,0.071,0.0,1.0,0.26,0.0,1.0,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,
