day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
1,0.0,0.0,0,0.0,2.0,0.5,0.0,1.0,0.095,1.0,2.0,0.9,0.0,1.0,0.372,1.0,2.0,0.716,0.0,1.0,0.228,1.0,3.0,1.311,1.0,2.0,0.878,4.0,12.0,4.66,8000.0,8000.0,8000,0.0,0.0,0,0.0,0.0,0,3.0,3.0,3,0.0,0.0,0,1200.0,1200.0,1200,350.0,550.0,410,0.0,0.0,0,40.0,40.0,40,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,1,300.0,300.0,300,0.0,200.0,60,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.0,2.0,0.505,0.0,1.0,0.077,1.0,2.0,0.88,0.0,1.0,0.383,1.0,2.0,0.693,0.0,1.0,0.251,1.0,3.0,1.316,1.0,2.0,0.895,5.0,12.0,5.707,9600.0,9600.0,8856,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,20.0,50.0,24.41,2400.0,2400.0,2400,600.0,800.0,623.4,0.0,0.0,0,80.0,80.0,80,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.625,200.0,200.0,200,100.0,200.0,63.4,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,4.41,0.0,1.0,0.083,0.0,1.0,0.246,0.0,0.0,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0,0.0,2.0,0.485,0.0,1.0,0.098,1.0,2.0,0.899,0.0,1.0,0.337,1.0,2.0,0.69,0.0,1.0,0.234,1.0,3.0,1.32,1.0,2.0,0.937,5.0,13.0,6.158,8000.0,9600.0,8796,0.0,0.0,0,0.0,0.0,0,7.0,7.0,7,20.0,50.0,34.31,600.0,600.0,600,800.0,1000.0,780.5,0.0,0.0,0,120.0,120.0,120,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.569,,,,0.0,200.0,57.1,150.0,150.0,150,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,9.9,0.0,1.0,0.092,0.0,1.0,0.286,0.0,1.0,0.053,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0,0.0,2.0,0.502,0.0,1.0,0.102,1.0,2.0,0.888,0.0,2.0,0.371,1.0,2.0,0.654,0.0,1.0,0.222,1.0,3.0,1.356,1.0,2.0,0.905,5.0,13.0,5.866,9600.0,12000.0,9184.8,30.0,30.0,30,0.0,0.0,0,9.0,9.0,9,80.0,80.0,72.38,300.0,300.0,300,750.0,1050.0,789.8,0.0,3.0,0.981,160.0,160.0,160,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.612,,,,0.0,200.0,59.3,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,8.07,0.0,1.0,0.118,0.0,1.0,0.229,0.0,0.0,0.041,,,,1500.0,1500.0,1500,0.0,3.0,0.981,0.0,1.0,0.358,0.0,1.0,0.327,0.0,1.0,0.315,,,,,,,,,,,,
5,0.0,0.0,0,0.0,2.0,0.49,0.0,1.0,0.116,1.0,2.0,0.891,0.0,1.0,0.334,1.0,2.0,0.683,0.0,1.0,0.225,1.0,3.0,1.436,1.0,2.0,0.825,5.0,13.0,6.074,9600.0,12000.0,9645.6,0.0,0.0,0,0.0,0.0,0,11.0,11.0,11,80.0,80.0,77.43,1500.0,1500.0,1500,1000.0,1300.0,995.7,0.0,3.0,0.981,200.0,200.0,200,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.625,,,,0.0,200.0,55.9,200.0,200.0,200,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,5.05,0.0,1.0,0.085,0.0,1.0,0.239,0.0,1.0,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0,0.0,2.0,0.478,0.0,1.0,0.104,1.0,2.0,0.857,0.0,1.0,0.368,0.0,2.0,0.649,0.0,1.0,0.212,1.0,3.0,1.42,1.0,2.0,0.912,5.0,13.0,5.944,8000.0,8000.0,8000,40.0,40.0,40,0.0,0.0,0,13.0,13.0,13,150.0,150.0,150.52,2700.0,2700.0,2700,1250.0,1650.0,1303.7,0.0,3.0,0.981,240.0,240.0,240,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.609,300.0,300.0,300,0.0,200.0,58,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,30.0,60.0,33.09,0.0,1.0,0.097,0.0,1.0,0.234,0.0,1.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0,0.0,2.0,0.495,0.0,1.0,0.102,1.0,2.0,0.907,0.0,1.0,0.325,1.0,2.0,0.728,0.0,1.0,0.192,1.0,3.0,1.368,1.0,2.0,0.883,10.0,18.0,10.939,8000.0,9600.0,8211.2,0.0,0.0,0,0.0,0.0,0,15.0,15.0,15,150.0,200.0,152.63,900.0,900.0,900,2210.0,2510.0,2215.4,0.0,3.0,0.981,0.0,0.0,0,9700.0,9700.0,9700,8500.0,8500.0,8500,1.0,1.0,0.622,,,,0.0,200.0,51.7,350.0,350.0,350,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,30.0,2.11,0.0,1.0,0.105,0.0,1.0,0.227,0.0,0.0,0.046,3000.0,3000.0,3000,,,,,,,,,,,,,,,,560.0,560.0,560,50.0,50.0,50,50.0,50.0,50,,,
8,0.0,0.0,0,0.0,1.0,0.406,0.0,1.0,0.074,1.0,2.0,0.692,0.0,1.0,0.303,0.0,2.0,0.552,0.0,1.0,0.181,1.0,3.0,1.088,1.0,2.0,0.704,4.0,11.0,4.787,8000.0,9600.0,8700.8,0.0,0.0,0,1.0,1.0,1,17.0,17.0,17,150.0,200.0,155.4,100.0,100.0,100,2210.0,2610.0,2263.8,3.0,6.0,1.965,0.0,0.0,0,9200.0,9200.0,9200,8500.0,8500.0,8500,1.0,1.0,0.608,,,,0.0,200.0,48.4,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8,0.0,50.0,2.77,0.0,1.0,0.122,0.0,1.0,0.217,0.0,1.0,0.053,,,,1500.0,1500.0,1500,0.0,3.0,0.984,0.0,1.0,0.346,0.0,1.0,0.328,0.0,1.0,0.326,,,,,,,,,,,,
9,0.0,0.0,0,0.0,2.0,0.525,0.0,1.0,0.103,1.0,2.0,0.87,0.0,2.0,0.361,1.0,2.0,0.68,0.0,1.0,0.234,1.0,3.0,1.34,1.0,2.0,0.887,5.0,13.0,5.969,9600.0,9600.0,9351.2,20.0,20.0,20,0.0,0.0,0,19.0,19.0,19,170.0,220.0,177.66,800.0,800.0,800,2210.0,2610.0,2223.3,3.0,6.0,1.965,0.0,0.0,0,9200.0,9200.0,9200,8500.0,8500.0,8500,1.0,1.0,0.605,,,,0.0,200.0,59.5,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,10,0.0,0.0,2.26,0.0,1.0,0.101,0.0,1.0,0.253,0.0,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0,0.0,1.0,0.41,0.0,1.0,0.074,1.0,2.0,0.7,0.0,1.0,0.262,0.0,2.0,0.558,0.0,1.0,0.192,1.0,2.0499999999999545,1.032,1.0,2.0,0.772,4.0,11.0,5.028,9600.0,12000.0,10219.2,0.0,0.0,0,1.0,1.0,1,21.0,21.0,21,170.0,220.0,180.69,1500.0,1500.0,1500,2360.0,2660.0,2318.7,3.0,6.0,1.965,0.0,0.0,0,9200.0,9200.0,9200,8500.0,8500.0,8500,1.0,1.0,0.612,,,,0.0,200.0,45.4,150.0,150.0,150,,,,100.0,100.0,100,24.0,24.0,24,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8,0.0,50.0,3.03,0.0,1.0,0.071,0.0,1.0,0.26,0.0,1.0,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
