day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
1,0.0,0.0,0,0.0,2.0,0.492,0.0,1.0,0.103,1.0,2.0,0.895,0.0,2.0,0.356,1.0,2.0,0.706,0.0,1.0,0.249,1.0,3.0,1.312,1.0,2.0,0.887,9.0,17.0,9.727,5000.0,5000.0,5000,0.0,1.0,0.105,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,20.0,20.0,20,950.0,950.0,950,450.0,650.0,500,0.0,0.0,0,25.0,25.0,25,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,1,300.0,300.0,300,0.0,200.0,60.5,100.0,100.0,89.5,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.0,2.0,0.501,0.0,1.0,0.091,1.0,2.0,0.879,0.0,1.0,0.371,1.0,2.0,0.69,0.0,1.0,0.227,1.0,3.0,1.339,1.0,3.0,0.902,10.0,17.0,10.804,5000.0,5000.0,5000,0.0,1.0,0.104,20.0,20.0,17.92,20.0,20.0,20,0.0,0.0,0,3.0,3.0,3,60.0,60.0,57.92,1900.0,1900.0,1900,800.0,1000.0,809.8,0.0,0.0,0,50.0,50.0,50,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.602,200.0,200.0,200,0.0,200.0,59.8,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.114,0.0,1.0,0.235,0.0,0.0,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0,0.0,2.0,0.53,0.0,1.0,0.08,1.0,2.0,0.882,0.0,2.0,0.38,1.0,2.0,0.644,0.0,1.0,0.209,1.0,3.0,1.342,1.0,3.0,0.933,10.0,17.0,10.746,6000.0,6000.0,5600,0.0,1.0,0.105,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,80.0,80.0,78.61,2850.0,2850.0,2850,1000.0,1300.0,1052.95,0.0,0.0,0,75.0,75.0,75,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.606,,,,0.0,200.0,58.9,150.0,150.0,134.25,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.104,0.0,1.0,0.245,0.0,0.0,0.045,0.0,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0,0.0,2.0,0.47,0.0,1.0,0.088,1.0,2.0,0.91,0.0,1.0,0.354,1.0,2.0,0.656,0.0,1.0,0.237,1.0,3.0,1.355,1.0,2.0,0.93,10.0,17.0,10.883,6000.0,6000.0,5627,0.0,1.0,0.113,30.0,30.0,26.61,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,130.0,160.0,129.21,800.0,800.0,800,1150.0,1450.0,1162.05,0.0,0.0,0,100.0,100.0,100,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.602,,,,0.0,200.0,59.1,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.102,0.0,1.0,0.248,0.0,0.0,0.048,0.0,30.0,3.99,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0,0.0,2.0,0.486,0.0,1.0,0.101,1.0,2.0,0.927,0.0,1.0,0.382,1.0,2.0,0.658,0.0,1.0,0.22,1.0,3.0,1.386,1.0,2.0,0.84,10.0,18.0,10.87,6000.0,6000.0,5588,0.0,1.0,0.101,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,6.0,6.0,6,150.0,180.0,153.77,250.0,250.0,250,1450.0,1800.0,1452.05,0.0,3.0,0.966,125.0,125.0,125,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.617,,,,0.0,200.0,60.2,200.0,200.0,179.8,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.097,0.0,1.0,0.23,0.0,1.0,0.056,0.0,30.0,4.56,,,,1500.0,1500.0,1500,0.0,3.0,0.966,0.0,1.0,0.348,0.0,1.0,0.322,0.0,1.0,0.33,,,,,,,,,
6,0.0,0.0,0,0.0,2.0,0.474,0.0,1.0,0.104,1.0,2.0,0.917,0.0,1.0,0.338,1.0,2.0,0.665,0.0,1.0,0.238,1.0,3.0,1.36,1.0,2.0,0.904,10.0,18.0,10.897,5000.0,5000.0,5000,0.0,1.0,0.1,40.0,40.0,36,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,210.0,240.0,214.03,1200.0,1200.0,1200,1550.0,1850.0,1559.65,0.0,3.0,0.966,150.0,150.0,150,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.624,,,,0.0,200.0,57.6,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.098,0.0,1.0,0.223,0.0,1.0,0.055,0.0,30.0,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0,0.0,2.0,0.515,0.0,1.0,0.108,1.0,2.0,0.856,0.0,1.0,0.347,1.0,2.0,0.654,0.0,1.0,0.212,1.0,3.0,1.42,1.0,2.0,0.888,15.0,22.049999999999955,15.665,5000.0,5000.0,5000,0.0,1.0,0.095,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,8.0,8.0,8,230.0,260.0,238.83,2150.0,2150.0,2150,2300.0,2700.0,2332.3,0.0,3.0,0.966,0.0,0.0,0,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.59,,,,0.0,200.0,55.9,350.0,350.0,316.75,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,70.0,70.0,65.25,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.087,0.0,1.0,0.27,0.0,1.0,0.053,0.0,30.0,4.8,,,,,,,,,,,,,,,,,,,350.0,350.0,350,50.0,50.0,45.25,,,
8,0.0,0.0,0,0.0,2.0,0.411,0.0,1.0,0.079,1.0,2.0,0.727,0.0,1.0,0.3,0.0,2.0,0.552,0.0,1.0,0.175,1.0,3.0,1.087,1.0,2.0,0.669,9.0,17.0,10.056,5000.0,6000.0,5216,0.0,1.0,0.113,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,9.0,9.0,9,280.0,280.0,262.87,2600.0,2600.0,2600,2500.0,2900.0,2468.5,0.0,3.0,0.966,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.583,,,,0.0,200.0,47.5,100.0,100.0,88.7,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8,0.0,1.0,0.109,0.0,1.0,0.262,0.0,0.0,0.046,0.0,30.0,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0,0.0,2.0,0.461,0.0,1.0,0.084,1.0,2.0,0.908,0.0,1.0,0.392,1.0,2.0,0.675,0.0,1.0,0.214,1.0,3.0,1.344,1.0,3.0,0.922,10.0,17.0,10.79,6000.0,6000.0,5658,0.0,1.0,0.085,20.0,20.0,18.3,20.0,20.0,20,0.0,0.0,0,10.0,10.0,10,350.0,350.0,334.51,50.0,50.0,50,2500.0,2900.0,2529.1,0.0,3.0,0.966,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.607,,,,0.0,200.0,60.6,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.107,0.0,1.0,0.237,0.0,0.0,0.049,30.0,60.0,33.34,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0,0.0,1.0,0.408,0.0,1.0,0.08,1.0,2.0,0.756,0.0,1.0,0.276,0.0,2.0,0.517,0.0,1.0,0.178,1.0,3.0,1.05,1.0,2.0,0.735,9.0,16.0,10.018,6000.0,6000.0,5941,0.0,1.0,0.089,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,11.0,11.0,11,370.0,370.0,356.82,500.0,500.0,500,2700.0,3150.0,2711.15,0.0,3.0,0.966,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.608,,,,0.0,200.0,45.4,150.0,150.0,136.65,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8,0.0,1.0,0.092,0.0,1.0,0.248,0.0,1.0,0.052,0.0,30.0,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
