day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
1,2.0,2.0,2,0.0,2.0,0.596,0.0,1.0,0.12,1.0,3.0,1.077,0.0,2.0,0.434,1.0,2.0,0.848,0.0,1.0,0.295,1.0,3.0,1.558,1.0,3.0,1.072,15.0,23.0,15.635,5000.0,5000.0,5000,0.0,1.0,0.105,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,20.0,20.0,20,950.0,950.0,950,570.0,770.0,620.48,0.0,0.0,0,25.0,25.0,25,5200.0,5200.0,5200,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,1,300.0,300.0,300,100.0,200.0,72.9,120.0,120.0,108.08,100.0,100.0,89.5,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2,1.0,2.0,0.709,0.0,1.0,0.106,1.0,3.0,1.241,0.0,2.0,0.535,1.0,3.0,0.947,0.0,1.0,0.338,2.0,4.0,1.853,1.0,3.0,1.271,16.0,24.0,17.546,5000.0,5000.0,5000,0.0,1.0,0.104,20.0,20.0,17.92,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,60.0,60.0,58.49,650.0,650.0,650,1060.0,1320.0,1083.6,0.0,0.0,0,50.0,50.0,50,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.59,200.0,200.0,200,100.0,200.0,87.3,120.0,140.0,125.82,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,0.0,0.57,0.0,1.0,0.103,0.0,1.0,0.256,0.0,1.0,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,2.0,2,0.0,2.0,0.579,0.0,1.0,0.1,1.0,3.0,1.131,0.0,2.0,0.397,1.0,2.0,0.815,0.0,1.0,0.283,2.0,3.0,1.595,1.0,3.0,1.1,15.0,23.0,16.711,6000.0,6000.0,5616,0.0,1.0,0.099,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,6.0,6.0,6,80.0,110.0,87.13,350.0,350.0,350,1440.0,1700.999999999999,1445.17,0.0,0.0,0,75.0,75.0,75,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.621,,,,100.0,200.0,68,120.0,120.0,108.42,150.0,150.0,135.15,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,30.0,8.64,0.0,1.0,0.103,0.0,1.0,0.234,0.0,0.0,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.0,2.0,2,1.0,2.0,0.73,0.0,1.0,0.124,1.0,3.0,1.268,0.0,2.0,0.517,1.0,3.0,0.946,0.0,1.0,0.326,2.0,4.0,1.822,1.0,3.0,1.267,16.0,25.0,17.704,6000.0,6000.0,5590,0.0,1.0,0.108,30.0,30.0,26.76,20.0,20.0,20,0.0,0.0,0,8.0,8.0,8,130.0,160.0,141.21,50.0,50.0,50,1700.0,2030.0,1704.87,0.0,0.0,0,100.0,100.0,100,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.612,,,,100.0,200.0,84.3,120.0,140.0,125.4,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,30.0,7.32,0.0,1.0,0.075,0.0,1.0,0.257,0.0,1.0,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0,2.0,2,0.0,2.0,0.549,0.0,1.0,0.099,1.0,3.0,1.104,0.0,1.0499999999999545,0.389,1.0,2.0,0.815,0.0,1.0,0.263,2.0,3.0499999999999545,1.7,1.0,3.0,1.081,15.0,23.0,16.816,6000.0,6000.0,5615,0.0,1.0,0.102,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,9.0,9.0,9,180.0,180.0,163.7,1000.0,1000.0,1000,2100.0,2440.0,2108.69,0.0,0.0,0,125.0,125.0,125,5200.0,5200.0,5200,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,0.598,,,,0.0,200.0,65.2,120.0,120.0,109.02,200.0,200.0,179.6,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,30.0,2.49,0.0,1.0,0.114,0.0,1.0,0.245,0.0,0.0,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.0,2.0,2,1.0,2.0,0.701,0.0,1.0,0.124,1.0,3.0,1.238,0.0,2.0,0.517,1.0,3.0,1,0.0,1.0,0.307,2.0,4.0,1.876,1.0,3.0,1.237,11.0,19.0,12.687,5000.0,5000.0,5000,0.0,1.0,0.082,40.0,40.0,36.72,20.0,20.0,20,0.0,0.0,0,11.0,11.0,11,240.0,240.0,224.44,700.0,700.0,700,2370.0,2750.0,2367.07,0.0,0.0,0,150.0,150.0,150,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.606,,,,100.0,200.0,82.4,120.0,140.0,125.98,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,30.0,4.02,0.0,1.0,0.109,0.0,1.0,0.244,0.0,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.0,2.0,2,0.0,2.0,0.617,0.0,1.0,0.089,1.0,3.0,1.097,0.0,2.0,0.446,1.0,2.0,0.792,0.0,1.0,0.268,1.5,4.0,1.588,1.0,3.0,1.103,15.0,23.0,16.116,5000.0,5000.0,5000,0.0,1.0,0.098,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,13.0,13.0,13,260.0,260.0,247.23,400.0,400.0,400,3265.0,3690.4999999999995,3261.83,0.0,0.0,0,0.0,0.0,0,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.601,,,,100.0,200.0,71.4,120.0,120.0,107.66,350.0,350.0,315.7,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,65.1,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,30.0,2.79,0.0,1.0,0.11,0.0,1.0,0.245,0.0,0.0,0.044,350.0,350.0,350,50.0,50.0,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0,2.0,2,0.0,2.0,0.556,0.0,1.0,0.113,1.0,3.0,1.123,0.0,2.0,0.446,1.0,2.0,0.801,0.0,1.0,0.287,2.0,4.0,1.624,1.0,3.0,1.05,10.0,19.0,11.795,5000.0,6000.0,5223,0.0,1.0,0.125,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,14.0,14.0,14,280.0,280.0,268.13,850.0,850.0,850,3540.0,3980.0,3531.51,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,0.613,,,,100.0,200.0,73.3,120.0,120.0,108.88,100.0,100.0,87.5,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.9,0.0,1.0,0.106,0.0,1.0,0.236,0.0,0.0,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,2.0,2,1.0,2.0,0.666,0.0,1.0,0.086,1.0,3.0,1.072,0.0,2.0,0.451,1.0,2.0,0.823,0.0,1.0,0.249,1.0,3.0,1.521,1.0,3.0,1.132,10.0,18.0,11.512,6000.0,6000.0,5655,0.0,1.0,0.112,20.0,20.0,17.76,20.0,20.0,20,1.0,1.0,1,16.0,16.0,16,350.0,350.0,337.06,50.0,50.0,50,3700.0,4180.0,3708.19,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.598,,,,100.0,200.0,70,100.0,120.0,106.68,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,30.0,30.0,31.17,0.0,1.0,0.098,0.0,1.0,0.238,0.0,1.0,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0,2.0,2,0.0,2.0,0.589,0.0,1.0,0.091,1.0,3.0,1.102,0.0,2.0,0.425,1.0,2.0,0.803,0.0,1.0,0.255,2.0,4.0,1.674,1.0,3.0,1.061,10.0,18.0,11.704,6000.0,6000.0,5943,0.0,1.0,0.102,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,17.0,17.0,17,370.0,370.0,358.42,500.0,500.0,500,4020.0,4510.0,4019.11,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,0.613,,,,100.0,200.0,68,120.0,120.0,108.22,150.0,150.0,134.7,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,1.36,0.0,1.0,0.092,0.0,1.0,0.249,0.0,0.0,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
