day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_overflow_cutoff_p50,energy_overflow_cutoff_p95,energy_overflow_cutoff_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
1,3.0,3.0,3,0.0,2.0,0.601,0.0,1.0,0.11,1.0,3.0,1.066,0.0,2.0,0.443,1.0,2.0,0.854,0.0,1.0,0.276,2.0,3.0,1.602,1.0,3.0,1.048,15.0,23.0,15.56,8000.0,9600.0,8409.6,0.0,0.0,0.81,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,4.0,4.0,4,20.0,20.0,20.81,2250.0,2250.0,2250,550.0,650.0,521.9,0.0,0.0,0,40.0,40.0,40,9700.0,9700.0,9700,9000.0,9000.0,9000,12750.0,12750.0,12750,3700.0,3700.0,3700,1.0,1.0,1,300.0,300.0,300,100.0,200.0,71.9,100.0,100.0,100,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,1.0,2.0,0.763,0.0,1.0,0.115,1.0,3.0,1.232,0.0,2.0,0.502,1.0,2.0,0.92,0.0,1.0,0.291,2.0,4.0,1.879,1.0,3.0,1.298,16.0,25.0,17.749,9600.0,9600.0,8917.6,0.0,30.0,13.56,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,60.0,90.0,74.37,2250.0,2250.0,2250,800.0,1100.0,851.2,0.0,0.0,0,80.0,80.0,80,9700.0,9700.0,9700,9000.0,9000.0,9000,12750.0,12750.0,12750,5950.0,5950.0,5950,1.0,1.0,0.576,200.0,200.0,200,100.0,200.0,79.3,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,1.0,0.094,0.0,1.0,0.277,0.0,1.0,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,0.0,2.0,0.612,0.0,1.0,0.099,1.0,3.0,1.089,0.0,2.0,0.429,1.0,2.0,0.794,0.0,1.0,0.273,2.0,4.0,1.622,1.0,3.0,1.082,15.0,23.049999999999955,16.763,9600.0,12000.0,9310.4,0.0,30.0,11.09,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,10.0,10.0,10,110.0,110.0,105.46,2250.0,2250.0,2250,1100.0,1400.0,1121.4,0.0,0.0,0,120.0,120.0,120,9700.0,9700.0,9700,9000.0,9000.0,9000,12750.0,12750.0,12750,5950.0,5950.0,5950,1.0,1.0,0.588,,,,100.0,200.0,70.2,150.0,150.0,150,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,1.0,0.096,0.0,1.0,0.257,0.0,1.0,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.0,2.0,0.659,0.0,1.0,0.143,1.0,3.0,1.31,0.0,2.0,0.454,1.0,3.0,0.926,0.0,1.0,0.297,2.0,4.0,1.929,1.0,3.0,1.282,16.0,25.0,17.904,9600.0,12000.0,10065.6,0.0,30.0,5.16,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0,13.0,13.0,13,160.0,160.0,160.62,2250.0,2250.0,2250,1250.0,1550.0,1246.5,0.0,0.0,0,160.0,160.0,160,9700.0,9700.0,9700,9000.0,9000.0,9000,12750.0,12750.0,12750,5950.0,5950.0,5950,1.0,1.0,0.628,,,,100.0,200.0,75.1,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,1.0,0.083,0.0,1.0,0.234,0.0,1.0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.614,0.0,1.0,0.098,1.0,3.0,1.05,0.0,2.0,0.452,1.0,2.0499999999999545,0.856,0.0,1.0,0.272,2.0,3.0,1.627,1.0,3.0,1.031,15.0,23.0,16.746,9600.0,12000.0,10060,0.0,50.0,3.29,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,16.0,16.0,16,180.0,230.0,183.91,2250.0,2250.0,2250,1600.0,1900.0,1568.9,0.0,0.0,0,200.0,200.0,200,9700.0,9700.0,9700,9000.0,9000.0,9000,12750.0,12750.0,12750,5950.0,5950.0,5950,1.0,1.0,0.583,,,,100.0,200.0,72.4,200.0,200.0,200,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,1.0,0.109,0.0,1.0,0.26,0.0,0.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,1.0,2.0,0.714,0.0,1.0,0.102,1.0,3.0,1.237,0.0,2.0,0.508,1.0,2.0,0.931,0.0,1.0,0.341,2.0,4.0,1.894,1.0,3.0,1.273,11.0,19.0,12.463,8000.0,8000.0,8076.8,30.0,80.0,34.33,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0,19.0,19.0,19,270.0,320.0,278.24,2250.0,2250.0,2250,1950.0,2350.0,2003.8,0.0,0.0,0,240.0,240.0,240,9700.0,9700.0,9700,9000.0,9000.0,9000,12750.0,12750.0,12750,5950.0,5950.0,5950,1.0,1.0,0.606,300.0,300.0,300,100.0,300.0,84.9,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,1.0,0.108,0.0,1.0,0.242,0.0,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,2.0,0.576,0.0,1.0,0.128,1.0,3.0,1.105,0.0,2.0,0.43,1.0,2.0,0.808,0.0,1.0,0.264,2.0,4.0,1.64,1.0,3.0,1.049,15.0,24.0,17.034,8000.0,9600.0,8497.6,0.0,50.0,4.83,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,22.0,22.0,22,290.0,340.0,303.07,2250.0,2250.0,2250,3010.0,3410.0,3033.2,0.0,0.0,0,0.0,0.0,0,9700.0,9700.0,9700,9000.0,9000.0,9000,12750.0,12750.0,12750,5950.0,5950.0,5950,1.0,1.0,0.588,,,,100.0,200.0,69.4,350.0,350.0,350,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,1.0,0.101,0.0,1.0,0.256,0.0,1.0,0.055,560.0,560.0,560,50.0,50.0,50,,,,,,,,,,,,,,,,,,,,,
8,3.0,3.0,3,0.0,2.0,0.662,0.0,1.0,0.085,1.0,3.0,1.054,0.0,2.0,0.441,1.0,2.0,0.838,0.0,1.0,0.262,1.0,3.0,1.549,1.0,3.0,1.109,10.0,18.0,11.525,9600.0,9600.0,9156.8,0.0,0.0,2.43,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,310.0,360.0,325.5,500.0,500.0,500,3210.0,3610.0,3203.5,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,9000.0,9000.0,9000,8500.0,8500.0,8500,5450.0,5450.0,5450,1.0,1.0,0.611,,,,100.0,200.0,70.3,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,1.0,0.088,0.0,1.0,0.242,0.0,1.0,0.059,,,,,,,6000.0,6000.0,6000,,,,,,,,,,,,,,,,,,
9,3.0,3.0,3,0.0,2.0,0.58,0.0,1.0,0.107,1.0,3.0,1.112,0.0,2.0,0.461,1.0,2.0,0.83,0.0,1.0,0.282,2.0,3.0,1.585,1.0,3.0,1.043,10.0,18.0,11.738,9600.0,12000.0,9914.4,,,,20.0,20.0,20,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,350.0,400.0,365.5,0.0,0.0,0,3210.0,3710.0,3277.8,3.0,6.0,1.98,0.0,0.0,0,9200.0,9200.0,9200,9000.0,9000.0,9000,,,,3700.0,3700.0,3700,1.0,1.0,0.615,,,,100.0,200.0,74.3,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,1.0,0.099,0.0,1.0,0.241,0.0,0.0,0.045,,,,,,,12000.0,12000.0,12000,3000.0,3000.0,3000,3.0,6.0,1.98,1.0,2.0,0.665,1.0,2.0,0.66,1.0,2.0,0.675,,,
10,3.0,3.0,3,0.0,2.0,0.602,0.0,1.0,0.114,1.0,3.0,1.092,0.0,2.0,0.429,1.0,2.0,0.792,0.0,1.0,0.273,1.0,3.0499999999999545,1.571,1.0,3.0,1.127,10.0,19.0,11.723,12000.0,12000.0,11117.6,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,370.0,420.0,385.5,0.0,0.0,0,3460.0,3960.0,3498,3.0,9.0,4.011,0.0,0.0,0,9200.0,9200.0,9200,9000.0,9000.0,9000,,,,3200.0,3200.0,3200,1.0,1.0,0.644,,,,100.0,200.0,70.2,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,1.0,0.074,0.0,1.0,0.223,0.0,1.0,0.059,,,,,,,12000.0,12000.0,12000,3000.0,3000.0,3000,3.0,6.0,2.031,1.0,2.0,0.654,1.0,2.0,0.677,1.0,2.0,0.669,,,
