day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_in_step_chest_p50,gold_in_step_chest_p95,gold_in_step_chest_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,step_chests_opened_p50,step_chests_opened_p95,step_chests_opened_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,bond_points_gain_p50,bond_points_gain_p95,bond_points_gain_mean
1,3.0,3.0,3,0.0,2.0,0.42,1.0,3.0,1.26,0.0,1.0,0.48,0.0,1.0,0.26,2.0,5.0,2.38,1.0,3.0,1.28,2.0,4.549999999999997,2,0.0,2.0,0.74,3.0,6.549999999999997,3.58,2.0,4.0,2.24,16.0,25.549999999999997,17.54,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0,4.0,4.0,4,0.0,0.0,0.6,3786.0,3786.0,3786,360.0,410.0,369,0.0,0.0,0,25.0,25.0,25,5940.0,5940.0,5940,5346.0,5346.0,5346,7500.0,7500.0,7500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,14,100.0,100.0,90,50.0,50.0,50,10.0,10.0,10,100.0,100.0,95,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.9,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,12.9,1.0,1.0,1,1.0,1.0,0.56,0.0,1.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,0.0,2.0,0.58,1.0,2.0,0.94,0.0,1.0,0.34,0.0,1.0,0.36,3.0,6.0,3.24,1.0,3.0,1.32,2.0,3.549999999999997,1.68,1.0,2.549999999999997,0.92,2.0,5.549999999999997,2.36,3.0,4.549999999999997,2.54,17.0,28.549999999999997,19.46,4500.0,4500.0,4500,0.0,1.0,0.12,0.0,30.0,8.4,20.0,20.0,17.6,0.0,0.0,0,7.0,7.0,7,50.0,80.0,47,2322.0,2322.0,2322,570.0,670.0,577,0.0,10.0,1.4,50.0,50.0,50,5940.0,5940.0,5940,5346.0,5346.0,5346,12750.0,12750.0,12750,1.0,1.0,0.68,200.0,200.0,200,50.0,150.0,48,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50.4,25.0,25.0,25,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,1.22,1.0,1.0,0.6,30.0,30.0,20.4,0.0,0.0,0.04,0.0,1.0,0.26,0.0,0.0,0.02,0.0,10.0,1.8,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,1.0,2.0,0.74,0.0,2.0,0.56,0.0,1.0,0.14,1.0,2.0,0.76,3.0,6.0,3.12,1.0,3.0,1.36,1.5,3.549999999999997,1.6,1.0,3.0,1.16,2.0,4.0,2.06,2.0,4.0,2.2,23.0,35.0,22.82,4500.0,4500.0,4500,0.0,0.5499999999999972,0.06,0.0,30.0,14.2,0.0,0.0,0,0.0,0.0,0,10.0,10.0,10,80.0,80.0,70.8,858.0,858.0,858,730.0,930.0,769,0.0,10.0,2.9,75.0,75.0,75,5940.0,5940.0,5940,5346.0,5346.0,5346,12750.0,12750.0,12750,1.0,1.0,0.56,,,,50.0,200.0,91,150.0,150.0,141,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,70.0,52,25.0,25.0,25,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,0.96,1.0,2.0,0.72,0.0,30.0,9.6,0.0,1.0,0.14,0.0,1.0,0.3,,,,0.0,10.0,3.5,,,,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.5,2.0,0.66,0.0,1.0,0.16,0.0,0.0,0.04,0.0,2.0,0.5,3.0,6.0,3.06,1.0,3.0,1.22,1.0,4.0,1.66,1.0,3.0,1.3,2.0,5.0,2.42,2.0,4.549999999999997,2.18,21.0,31.549999999999997,20.52,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,30.0,4.8,30.0,30.0,27,0.0,0.0,0,12.0,12.0,12,115.0,140.0,118.8,3644.0,3644.0,3644,1140.0,1367.5,1145,0.0,10.0,4.1,100.0,100.0,100,5940.0,5940.0,5940,5346.0,5346.0,5346,8500.0,8500.0,8500,1.0,1.0,0.72,300.0,300.0,300,100.0,250.0,116,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,70.0,52,25.0,25.0,25,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,1.0,1.0,1,0.0,1.0,0.44,0.0,1.0,0.34,30.0,30.0,16.2,0.0,0.0,0.02,0.0,1.0,0.24,0.0,0.0,0.02,0.0,10.0,3.2,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.72,0.0,0.5499999999999972,0.06,,,,1.0,2.0,0.7,3.0,5.0,2.74,1.0,3.0,1.4,2.0,4.0,1.9,1.0,2.549999999999997,0.98,2.0,4.0,2.14,2.0,5.549999999999997,2.42,22.0,39.0,22.4,4500.0,4500.0,4500,0.0,1.0,0.1,0.0,50.0,6.4,0.0,0.0,0,0.0,0.0,0,15.0,15.0,15,140.0,165.49999999999997,139,2180.0,2180.0,2180,1400.0,1700.0,1401,10.0,10.0,6,125.0,125.0,125,5940.0,5940.0,5940,5346.0,5346.0,5346,12750.0,12750.0,12750,1.0,1.0,0.62,,,,100.0,250.0,116,200.0,200.0,180,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,70.0,52.4,25.0,25.0,25,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,1,0.0,2.0,0.6,0.0,30.0,13.8,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.0,0.02,0.0,10.0,4.3,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,1.0,2.0,0.74,0.0,0.0,0.02,,,,1.0,2.0,0.64,3.0,6.0,3.2,1.0,3.0,1.54,1.0,3.0,1.4,1.0,3.0,1.26,2.0,4.0,2.2,2.0,5.0,2.02,17.5,29.099999999999994,17.78,4500.0,4500.0,4500,0.0,1.0,0.12,0.0,0.0,0.6,40.0,40.0,35.2,0.0,0.0,0,18.0,18.0,18,180.0,205.49999999999997,174.8,716.0,716.0,716,1460.0,1810.0,1500,10.0,18.249999999999957,7.2,150.0,150.0,150,5940.0,5940.0,5940,5346.0,5346.0,5346,12750.0,12750.0,12750,1.0,1.0,0.6,,,,150.0,250.0,139,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,20.0,6.8,25.0,25.0,25,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,0.64,1.0,2.0,0.68,,,,0.0,1.0,0.08,0.0,1.0,0.3,0.0,0.0,0.02,5.0,30.49999999999997,8,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,1.5499999999999972,0.54,,,,,,,0.0,2.0,0.62,3.0,5.0,2.88,1.0,3.0,1.2,2.0,4.0,1.98,1.0,3.0,1.18,2.0,5.549999999999997,2.3,2.0,4.0,2.3,21.0,39.64999999999999,22.84,4500.0,4500.0,4500,0.0,0.0,0.04,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,20.0,20.0,20,180.0,230.0,176.8,3252.0,3252.0,3252,2270.0,2520.0,2265,0.0,12.749999999999986,5.2,0.0,0.0,0,5940.0,5940.0,5940,5346.0,5346.0,5346,8750.0,8750.0,8750,1.0,1.0,0.54,,,,100.0,200.0,119,350.0,350.0,336,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,50.0,70.0,54.8,25.0,25.0,25,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,1.0,1.0,1,0.0,1.0,0.34,0.0,1.0,0.34,,,,0.0,1.0,0.16,0.0,1.0,0.26,0.0,0.0,0.04,0.0,18.249999999999957,4.8,350.0,350.0,350,50.0,50.0,48,,,,,,,,,,,,
8,3.0,3.0,3,1.0,2.0,0.66,,,,,,,0.0,2.0,0.52,3.0,5.0,2.72,1.0,3.0,1.02,1.5,3.0,1.52,1.0,3.0,1.02,2.0,4.549999999999997,2.26,2.0,5.0,2.28,16.0,30.099999999999994,17.16,4500.0,4500.0,4500,0.0,1.0,0.08,0.0,50.0,4,0.0,0.0,0,0.0,0.0,0,22.0,22.0,22,180.0,230.0,180.8,3657.0,3657.0,3657,2380.0,2730.0,2419,10.0,15.0,6.6,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9000.0,9000.0,9000,1.0,1.0,0.52,,,,100.0,200.0,102,100.0,100.0,92,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,20.0,7.4,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,1.0,2.0,0.68,0.0,2.0,0.56,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.4,0.0,0.0,0.02,10.0,25.0,8.8,,,,,,,,,,,,,,,,,,
9,3.0,3.0,3,1.0,2.0,0.72,,,,,,,0.0,2.0,0.58,3.0,5.0,3.1,1.0,2.0,1.04,1.0,4.0,1.62,1.0,3.0,0.94,2.0,4.0,2.1,2.0,4.0,1.9,16.0,29.099999999999994,17.34,4500.0,4500.0,4500,0.0,1.0,0.16,30.0,80.0,34,20.0,20.0,16.8,0.0,0.0,0,24.0,24.0,24,230.0,280.0,231.6,4062.0,4062.0,4062,2465.0,2840.0,2478,10.0,15.0,7.8,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9000.0,9000.0,9000,1.0,1.0,0.58,,,,100.0,200.0,99,0.0,0.0,0,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,20.0,9,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,1.0,2.0,0.7,0.0,2.0,0.5,,,,0.0,1.0,0.08,0.0,1.0,0.26,0.0,1.0,0.08,10.0,25.0,10.2,,,,,,,,,,,,,,,,,,
10,3.0,3.0,3,1.0,2.0,0.74,,,,,,,0.0,2.0,0.5,3.0,5.0,2.72,1.5,3.0,1.48,2.0,4.0,1.62,1.0,3.0,1.2,1.5,5.0,1.9,2.0,4.0,1.84,15.0,26.099999999999994,15.18,4500.0,4500.0,4500,0.0,1.0,0.12,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,230.0,280.0,233.6,4467.0,4467.0,4467,2750.0,3200.0,2804,10.0,15.0,7,0.0,0.0,0,4950.0,4950.0,4950,4455.0,4455.0,4455,9000.0,9000.0,9000,1.0,1.0,0.6,,,,100.0,250.0,134,150.0,150.0,132,50.0,50.0,50,10.0,10.0,10,100.0,100.0,100,24.0,24.0,24,,,,0.0,20.0,6.4,,,,1.0,1.0,1,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,1.0,1.0,1,0.0,1.0,0.26,0.0,1.0,0.24,,,,0.0,1.0,0.16,0.0,1.0,0.2,0.0,0.0,0.04,5.0,10.0,5.6,,,,,,,2.0,2.0,2,100.0,100.0,100,,,,,,
